"id","name","level","Credits","Prerequisite","Summer"
"1","CHEM 101","1","4","0","1"
"2","PHYS 101","1","4","0","0"
"3","MATH 101","1","4","0","0"
"4","ENGL 101","1","3","0","1"
"5","PE 101","1","1","0","0"
"6","IAS 101","1","2","0","1"
"7","PHYS 102","1","4","2","0"
"8","MATH 102","1","4","3","0"
"9","ENGL 102","1","3","4","1"
"10","PE 102","1","1","5","0"
"11","ICS 102","1","3","0","0"
"12","IAS 111","1","2","0","1"
"13","MATH 201","2","3","8","0"
"14","IAS 201","2","2","6","1"
"15","ICS 201","2","4","11","1"
"16","ICS 202","2","4","15","0"
"17","COE 202","2","3","7","0"
"18","SWE 205","2","3","11","0"
"19","IAS 212","2","2","12","1"
"20","ENGL 214","2","3","9","1"
"21","SWE 215","2","3","18","0"
"22","ICS 233","2","4","15","1"
"23","ICS 253","2","3","11","0"
"24","ICS 254","2","3","23","0"
"25","IAS 301","3","2","14","1"
"26","ISE 307","3","3","8","1"
"27","SWE 312","3","3","18","0"
"28","SWE 316","3","3","21","0"
"29","STAT 319","3","3","8","1"
"30","IAS 322","3","2","19","1"
"31","ICS 324","3","4","16","0"
"32","SWE 326","3","3","27","0"
"33","ICS 343","3","4","14","0"
"34","ICS 353","3","3","23","0"
"35","SWE 363","3","3","21","1"
"36","SWE 387","3","3","21","0"
"37","SWE 417","4","3","36","0"
"38","SWE 418","4","2","37","0"
"39","ICS 431","4","4","22","0"
"40","ICS 381","4","3","24","0"
"41","ICS 485","4","3","24","0"
"42","ICS 471","4","3","24","0"
"43","GS 320","4","3","0","1"
"44","GS 434","4","3","0","1"
