Course,Credit,Lab,Difficulty,Material,Study Time,Weight
ICS 233,4.00,1.00,9.00,9.00,9.00,3.645
PHYS 101,4.00,1.00,8.00,9.00,9.00,3.24
PHYS 102,4.00,1.00,9.00,9.00,8.00,3.24
ICS 233,4.00,1.00,9.00,8.00,9.00,3.24
ICS 343,4.00,1.00,9.00,8.00,9.00,3.24
ICS 343,4.00,1.00,8.00,9.00,9.00,3.24
ICS 431,4.00,1.00,9.00,9.00,8.00,3.24
ICS 431,4.00,1.00,8.00,9.00,9.00,3.24
MATH 102,4.00,0.00,9.00,9.00,9.00,2.916
MATH 102,4.00,0.00,9.00,9.00,9.00,2.916
CHEM 101,4.00,1.00,9.00,8.00,8.00,2.88
CHEM 101,4.00,1.00,8.00,9.00,8.00,2.88
CHEM 101,4.00,1.00,9.00,8.00,8.00,2.88
PHYS 102,4.00,1.00,9.00,8.00,8.00,2.88
PHYS 102,4.00,1.00,8.00,9.00,8.00,2.88
ICS 431,4.00,1.00,9.00,8.00,8.00,2.88
ICS 431,4.00,1.00,8.00,8.00,9.00,2.88
CHEM 101,4.00,1.00,9.00,7.00,9.00,2.835
PHYS 101,4.00,1.00,7.00,9.00,9.00,2.835
PHYS 101,4.00,1.00,9.00,9.00,7.00,2.835
PHYS 102,4.00,1.00,9.00,7.00,9.00,2.835
ICS 233,4.00,1.00,9.00,7.00,9.00,2.835
ICS 343,4.00,1.00,9.00,7.00,9.00,2.835
ICS 431,4.00,1.00,9.00,7.00,9.00,2.835
MATH 102,4.00,0.00,9.00,9.00,8.00,2.592
MATH 102,4.00,0.00,8.00,9.00,9.00,2.592
PHYS 102,4.00,1.00,8.00,8.00,8.00,2.56
ICS 431,4.00,1.00,8.00,8.00,8.00,2.56
ICS 431,4.00,1.00,8.00,8.00,8.00,2.56
ICS 431,4.00,1.00,8.00,8.00,8.00,2.56
CHEM 101,4.00,1.00,9.00,7.00,8.00,2.52
CHEM 101,4.00,1.00,9.00,8.00,7.00,2.52
PHYS 101,4.00,1.00,9.00,8.00,7.00,2.52
PHYS 101,4.00,1.00,8.00,7.00,9.00,2.52
PHYS 101,4.00,1.00,8.00,9.00,7.00,2.52
PHYS 102,4.00,1.00,9.00,7.00,8.00,2.52
ICS 343,4.00,1.00,7.00,8.00,9.00,2.52
ICS 431,4.00,1.00,8.00,9.00,7.00,2.52
ICS 431,4.00,1.00,9.00,7.00,8.00,2.52
CHEM 101,4.00,1.00,6.00,9.00,9.00,2.43
PHYS 102,4.00,1.00,9.00,6.00,9.00,2.43
ICS 233,4.00,1.00,9.00,9.00,6.00,2.43
ICS 343,4.00,1.00,9.00,6.00,9.00,2.43
ICS 431,4.00,1.00,6.00,9.00,9.00,2.43
ICS 431,4.00,1.00,6.00,9.00,9.00,2.43
MATH 101,4.00,0.00,9.00,8.00,8.00,2.304
MATH 102,4.00,0.00,8.00,8.00,9.00,2.304
ICS 102,3.00,1.00,8.00,8.00,9.00,2.304
STAT 319,3.00,1.00,8.00,9.00,8.00,2.304
MATH 101,4.00,0.00,7.00,9.00,9.00,2.268
MATH 102,4.00,0.00,9.00,9.00,7.00,2.268
MATH 102,4.00,0.00,9.00,7.00,9.00,2.268
ICS 102,3.00,1.00,9.00,7.00,9.00,2.268
STAT 319,3.00,1.00,9.00,9.00,7.00,2.268
STAT 319,3.00,1.00,9.00,7.00,9.00,2.268
STAT 319,3.00,1.00,9.00,7.00,9.00,2.268
STAT 319,3.00,1.00,9.00,7.00,9.00,2.268
PHYS 101,4.00,1.00,8.00,8.00,7.00,2.24
PHYS 101,4.00,1.00,7.00,8.00,8.00,2.24
ICS 201,4.00,1.00,7.00,8.00,8.00,2.24
ICS 233,4.00,1.00,8.00,8.00,7.00,2.24
ICS 343,4.00,1.00,7.00,8.00,8.00,2.24
ICS 431,4.00,1.00,7.00,8.00,8.00,2.24
ICS 431,4.00,1.00,7.00,8.00,8.00,2.24
ICS 431,4.00,1.00,8.00,8.00,7.00,2.24
CHEM 101,4.00,1.00,7.00,9.00,7.00,2.205
PHYS 101,4.00,1.00,9.00,7.00,7.00,2.205
PHYS 101,4.00,1.00,7.00,7.00,9.00,2.205
ICS 233,4.00,1.00,9.00,7.00,7.00,2.205
ICS 431,4.00,1.00,7.00,7.00,9.00,2.205
ICS 431,4.00,1.00,9.00,7.00,7.00,2.205
ICS 431,4.00,1.00,7.00,7.00,9.00,2.205
ICS 431,4.00,1.00,9.00,7.00,7.00,2.205
MATH 201,3.00,0.00,9.00,9.00,9.00,2.187
MATH 201,3.00,0.00,9.00,9.00,9.00,2.187
SWE 387,3.00,0.00,9.00,9.00,9.00,2.187
CHEM 101,4.00,1.00,9.00,8.00,6.00,2.16
CHEM 101,4.00,1.00,9.00,6.00,8.00,2.16
CHEM 101,4.00,1.00,6.00,9.00,8.00,2.16
CHEM 101,4.00,1.00,9.00,8.00,6.00,2.16
CHEM 101,4.00,1.00,6.00,8.00,9.00,2.16
CHEM 101,4.00,1.00,6.00,8.00,9.00,2.16
CHEM 101,4.00,1.00,6.00,9.00,8.00,2.16
PHYS 101,4.00,1.00,6.00,9.00,8.00,2.16
